勘定科目,2022年8月31日,2021年8月31日,2020年8月31日,2019年8月31日,2018年8月31日,2016年8月31日,2015年8月31日,2014年8月31日,2013年8月31日,2012年8月31日
資産の部__固定資産__投資その他の資産__貸倒引当金,,,,,,－,,,"-3,146",-837
投資その他の資産合計,,,,,,"214,760","125,930","117,092","115,712","63,146"
固定資産計,,,,,,"237,619","140,122","137,542","134,515",
資産の部合計,,,,,,"631,086","410,009","385,113","370,110",
負債の部,,,,,,,,,,
流動負債,,,,,,,,,,
未払金,,,,,,"8,102","4,251","3,178","3,728",
未払費用,,,,,,649,715,"1,173",882,
預り金,,,,,,"22,693","23,939","42,435","22,876",
賞与引当金,,,,,,"1,620","1,614","1,283",827,
負債の部__流動負債__その他,,,,,,428,521,160,"1,992","37,491"
流動負債計,,,,,,"33,494","31,043","48,231","30,308",
固定負債,,,,,,,,,,
社債,,,,,,"250,000",－,,,
預り保証金,,,,,,"1,100","1,126","1,127","1,109",
繰延税金負債,,,,,,－,"1,072","3,012","2,440",
負債の部__固定負債__その他,,,,,,716,759,486,497,"15,084"
固定負債計,,,,,,"251,817","2,959","4,625","4,047",
負債の部合計,,,,,,"285,312","34,002","52,857","34,356",
純資産の部,,,,,,,,,,
株主資本,,,,,,,,,,
資本金,,,,,,"10,273","10,273","10,273","10,273","10,273"
資本剰余金,,,,,,,,,,"5,541"
資本準備金,,,,,,"4,578","4,578","4,578","4,578",
その他資本剰余金,,,,,,"3,071","2,550","1,856","1,384",
資本剰余金合計,,,,,,"7,650","7,129","6,435","5,963",
利益剰余金,,,,,,,,,,"419,093"
利益準備金,,,,,,818,818,818,818,
その他利益剰余金,,,,,,,,,,
別途積立金,,,,,,"185,100","185,100","185,100","185,100",
繰越利益剰余金,,,,,,"154,782","185,400","148,299","155,534",
利益剰余金合計,,,,,,"340,701","371,318","334,217","341,452",
自己株式,,,,,,"-15,633","-15,699","-15,790","-15,851","-16,003"
株主資本合計,,,,,,"342,992","373,023","335,136","341,838","418,905"
評価・換算差額等,,,,,,,,,,
その他有価証券評価差額金,,,,,,-818,329,"-4,515","-6,980","-16,434"
その他の包括利益累計額合計,,,,,,-818,329,"-4,515","-6,980",
新株予約権,,,,,,"3,599","2,654","1,634",896,755
純資産の部合計,,,,,,"345,773","376,007","332,255","335,754",
負債・純資産合計,,,,,,"631,086","410,009","385,113","370,110",
繰延税金資産,,,,,,,,－,,
受取手形及び売掛金,,,,,,,,,,"19,920"
たな卸資産,,,,,,,,,,"98,963"
資産の部__流動資産__為替予約,,,,,,,,,,－
建物及び構築物,,,,,,,,,,"95,686"
資産の部__固定資産__有形固定資産__建物及び構築物__減価償却累計額,,,,,,,,,,"-47,440"
建物及び構築物（純額）,,,,,,,,,,"48,245"
器具備品及び運搬具,,,,,,,,,,"15,723"
資産の部__固定資産__有形固定資産__器具備品及び運搬具__減価償却累計額,,,,,,,,,,"-7,621"
器具備品及び運搬具（純額）,,,,,,,,,,"8,101"
機械装置及び運搬具,,,,,,,,,,
資産の部__固定資産__有形固定資産__その他,,,,,,,,,,
のれん,,,,,,,,,,"15,992"
建設協力金,,,,,,,,,,"14,232"
固定資産合計,,,,,,,,,,"170,586"
繰延資産,,,,,,,,,,
支払手形及び買掛金,,,,,,,,,,"71,142"
1年内返済予定の長期借入金,,,,,,,,,,"3,410"
短期借入金,,,,,,,,,,"2,505"
負債の部__流動負債__為替予約,,,,,,,,,,"22,625"
未払法人税等,,,,,,,,,,"27,738"
負債の部__流動負債__繰延税金負債,,,,,,,,,,33
負債の部__流動負債__引当金,,,,,,,,,,"8,430"
長期借入金,,,,,,,,,,"9,129"
負債の部__固定負債__繰延税金負債,,,,,,,,,,"2,553"
負債の部__固定負債__引当金,,,,,,,,,,64
固定負債合計,,,,,,,,,,"26,831"
特別法上の準備金,,,,,,,,,,
特別法上の引当金,,,,,,,,,,
繰延ヘッジ損益,,,,,,,,,,"-14,532"
為替換算調整勘定,,,,,,,,,,"-1,193"
評価・換算差額等合計,,,,,,,,,,"-32,160"
少数株主持分,,,,,,,,,,"7,392"
純資産合計,,,,,,,,,,"394,892"
負債純資産合計,,,,,,,,,,"595,102"
